date,amount,description,merchant
01/05/2024,150.00,Grocery Purchase,Whole Foods
01/06/2024,1200.00,Rent Payment,Landlord
01/08/2024,-3500.00,Direct Deposit,Employer
01/10/2024,45.50,Electric,Power Company
01/12/2024,85.25,Ride Share,Uber
01/15/2024,65.00,Movies,Cinema
01/18/2024,120.00,Groceries,Supermarket
01/20/2024,50.00,Fuel,Gas Station
01/25/2024,200.00,Eating Out,Restaurant
02/05/2024,180.00,Bulk Shopping,Costco
02/06/2024,1200.00,Rent,Property Mgmt
02/08/2024,-3500.00,Paycheck,Employer
02/10/2024,55.30,Water Utility,Water Co
02/12/2024,100.50,Taxi,Taxi Service
02/15/2024,75.00,Event,Concert Hall
02/18/2024,95.00,Food,Grocery Store
02/20/2024,42.00,Transit,Metro
02/25/2024,150.00,Dinner,Restaurant
03/05/2024,160.00,Shopping,Grocery
03/06/2024,1200.00,Rent,Management
03/08/2024,-3500.00,Salary,Work
03/10/2024,62.50,Internet,ISP
03/15/2024,120.00,Fun,Entertainment
03/20/2024,85.00,Fuel,Gas
